district_code,district_name,gram_panchayat_code,gram_panchayat_name,prd_block_name,prd_block_code,lgd_block_name,lgd_block_code
132,Bijnor,54806,Aabidnagar Urf Dhondhli,BUDHANPUR SEOHARA,1571,Budhanpur Seohara,989
134,Bulandshahr,266228,Aachru Khurd,SHIKARPUR,1611,Shikarpur,1029
130,Bareilly,52784,Aadalpur,BAHERI,1542,Baheri,960
120,Prayagraj,44282,Aadampur Uparaura,BAHRIA,1414,Bahria,831
170,Mirzapur,79685,Aahi,MAJHAWA,1987,Majhawa,1405
132,Bijnor,55580,Aajamghad Urf Ratangarh,NOORPUR,1580,Noorpur,998
167,Mathura,266456,Aajnothi,CHHATA,1953,Chhata,1371
151,Jalaun,68837,Aal,KUTHAUND,1800,Kuthaund,1218
146,Ghazipur,63870,Aalapur,BHANWARKOL,1720,Bhanwarkol,1138
132,Bijnor,55199,Aalealipur,KOTWALI,1576,Kotwali,994
132,Bijnor,55588,Aaliyapur,NOORPUR,1580,Noorpur,998
141,Farrukhabad,266596,Aalu Pur,KAMALGANJ,1680,Kamalganj,1098
137,Deoria,59319,Aam Ghat,RAMPUR KARKHANA,1641,Rampur Karkhana,1059
183,Sitapur,88982,Aamba,BEHTA,2133,Behta,1551
183,Sitapur,89153,Aambaghat,GONDLAMAU,2135,Gondlamau,1553
183,Sitapur,89880,Aambi,PISAWAN,2146,Pisawan,1564
173,Pilibhit,81810,Aamdar,BARKHERA,2022,Barkhera,1440
121,Ambedkar Nagar,45814,Aami,BHITI,1435,Bhiti,852
141,Farrukhabad,61432,Aamilpur,BARHPUR,1678,Barhpur,1096
130,Bareilly,52786,Aamkhera,BAHERI,1542,Baheri,960
177,Saharanpur,85233,Aamki Dipchandpur Must,NAGAL,2076,Nagal,1494
127,Balrampur,268200,Aamrahwa,TULSIPUR,1515,Tulsipur,932
140,Ayodhya,61091,Aanapur Saraiya,MAYA BAZAR,1673,Maya Bazar,1091
185,Sultanpur,91843,Aanapurnarayanganj,P.P.KAMAICHA,2178,P.P.Kamaicha,1596
176,Rampur,84658,Aanga,SAIDNAGAR,2069,Saidnagar,1487
183,Sitapur,89675,Aant,MISRIKH,2143,Misrikh,1561
143,Firozabad,62780,Aapur,EKA,1699,Eka,1117
152,Jaunpur,69539,Aara,KARANJA KALA,1811,Karanja Kala,1229
185,Sultanpur,91162,Aardih,DUBEPUR,2167,Dubepur,1585
127,Balrampur,267322,Aarnhwa,HARRIYA SATGHARWA,1511,Harriya Satgharwa,928
130,Bareilly,52703,Aaspur,AALAMPUR JAFARABAD,1541,Aalampur Jafarabad,959
147,Gonda,65649,Aata,PARASPUR,1747,Paraspur,1165
151,Jalaun,68707,Aata,KADAURA,1798,Kadaura,1216
128,Banda,51442,Aau,NARAINI,1523,Naraini,940
141,Farrukhabad,61433,Aawaj Pur,BARHPUR,1678,Barhpur,1096
177,Saharanpur,266636,Ababakpur,SADAULI QADEEM,2081,Sadauli Qadeem,1499
152,Jaunpur,270681,Abahadpur,DOBHI,1809,Dobhi,1227
140,Ayodhya,61020,Abanpur Saroha,MASODHA,1671,Masodha,1089
143,Firozabad,63122,Abbaspur,SHIKOHABAD,1705,Shikohabad,1123
152,Jaunpur,70280,Abbopur,SHAH GANJ,1821,Shah Ganj,1239
168,Mau,269984,Abbupur,KOPAGANJ,1965,Kopaganj,1383
180,Shahjahanpur,269362,Abdalpur Albela,JALALABAD,2102,Jalalabad,1520
120,Prayagraj,45094,Abdalpur Khas,MAUAIMA,1425,Mauaima,842
174,Pratapgarh,82654,Abdul Wahidganj,KALAKANKAR,2033,Kalakankar,1451
138,Etah,59662,Abdulhaipur,AWAGARH,1647,Awagarh,1065
150,Hardoi,68147,Abdulla Nagar,PIHANI,1789,Pihani,1207
150,Hardoi,68320,Abdullapur,SHAHABAD,1792,Shahabad,1210
151,Jalaun,68838,Abdullapur Kanar,KUTHAUND,1800,Kuthaund,1218
130,Bareilly,53078,Abdullapur Mafi,BITHIRI CHAINPUR,1546,Bithiri Chainpur,964
124,Baghpat,265479,Abdullapur Mevla,PILANA,1476,Pilana,893
177,Saharanpur,85538,Abdullapur-Mazra Behat,SADAULI QADEEM,2081,Sadauli Qadeem,1499
126,Ballia,50077,Abdulpur Madari,NAGRA,1501,Nagra,918
132,Bijnor,54961,Abdulpur Munna Urf Hadarpur,HALDAUR(KHARI JHALU),1573,Haldaur(Khari Jhalu),991
177,Saharanpur,85366,Abha,NANAUTA,2078,Nanauta,1496
126,Ballia,272594,Abhaeepur,GARWAR,1497,Garwar,914
133,Budaun,265140,Abhai Pur,SAMRER,1595,Samrer,1013
130,Bareilly,52873,Abhai Rajpur,BHADPURA,1543,Bhadpura,961
173,Pilibhit,81967,Abhaipur Chaina Nakti,BISALPUR,2024,Bisalpur,1442
163,Hathras,76056,Abhaipura,SADABAD,1922,Sadabad,1340
